PolityKey,PC1_hier,start_year,end_year,duration_years,NGA,duration_quartile
Sogdiana | SyCalUm,0.5777384581342417,661.0,750.0,89.0,,Q1 (Short)
Sogdiana | UzKok02,-1.9875008983624438,-800.0,-600.0,200.0,,Q3
Sogdiana | UzSamnd,0.9688280425214867,819.0,999.0,180.0,,Q3
Susiana | GrMaced,0.23840403329127036,-359.0,-294.0,65.0,,Q1 (Short)
Susiana | IrAchae,1.4978389791433318,-550.0,-330.0,220.0,,Q3
Susiana | IrAkKoy,-0.3891730401279185,1339.0,1501.0,162.0,,Q2
Susiana | IrIlkhn,0.9688280425214867,1256.0,1335.0,79.0,,Q1 (Short)
Susiana | IrKhzM*,-2.7978500550269483,-5100.0,-4700.0,400.0,,Q4 (Long)
Susiana | IrSasn2,2.056234620214967,488.0,642.0,154.0,,Q2
Susiana | IrSeljq,0.6986750500260692,1037.0,1157.0,120.0,,Q2
Susiana | IrSusa1,-2.6483019627845987,-4300.0,-3800.0,500.0,,Q4 (Long)
Susiana | IrSusa2,-0.9944003405963447,-3800.0,-3100.0,700.0,,Q4 (Long)
Susiana | MnMngKh,0.7678564823736231,1206.0,1368.0,162.0,,Q2
Susiana | SyCalUm,0.5777384581342417,661.0,750.0,89.0,,Q1 (Short)
Upper Egypt | EgNKRam,1.4471887153370855,-1450.0,-1185.0,265.0,,Q3
Upper Egypt | EgNaqa1,-2.8476994191077316,-3800.0,-3600.0,200.0,,Q3
Upper Egypt | EgNaqa2,-2.1482342181520355,-3550.0,-3300.0,250.0,,Q3
Upper Egypt | EgSaite,0.6986750500260692,-664.0,-525.0,139.0,,Q2
Upper Egypt | GrMaced,0.23840403329127036,-359.0,-294.0,65.0,,Q1 (Short)
Upper Egypt | IrAchae,1.4978389791433318,-550.0,-330.0,220.0,,Q3
Upper Egypt | IrSasn2,2.056234620214967,488.0,642.0,154.0,,Q2
Upper Egypt | SyCalUm,0.5777384581342417,661.0,750.0,89.0,,Q1 (Short)
Upper Egypt | TnFatim,2.1804575805541937,909.0,1171.0,262.0,,Q3
Valley of Oaxaca | MxAlb1E,-1.8378429852983464,-500.0,-200.0,300.0,,Q4 (Long)
Valley of Oaxaca | MxAlb3B,-1.480087212735815,500.0,900.0,400.0,,Q4 (Long)
Yemeni Coastal Plain | Modern Yemen,-0.060250638732921656,1920.0,2001.0,81.0,,Q1 (Short)
Yemeni Coastal Plain | YeModrn,-0.060250638732921656,1920.0,2001.0,81.0,,Q1 (Short)
