PolityKey,PolityName,Administrative levels,Military levels,Religious levels,Settlement hierarchy,start_year,end_year,duration_years,PC1_hier,PC2_hier,PC3_hier,PC1_squared,PC1_x_PC2,collapsed
93,InMahaJ,4.0,4.0,2.0,4.0,-600.0,-324.0,276.0,-0.14743628537799489,-0.40731459251201013,-0.24116977862452157,0.021737458246061547,0.06005295050022243,0
94,InMaury,7.0,7.0,1.0,4.0,-324.0,-187.0,137.0,1.0370698437583277,-1.4735390860336541,0.37604369541144317,1.0755138608329222,-1.5281629497247107,1
95,InMugl*,7.0,6.0,1.0,4.0,1526.0,1858.0,332.0,0.823607855996905,-1.3936165136883705,0.031515274414372525,0.6783299004598186,-1.1477935089207603,0
96,InRasht,7.0,5.0,5.0,3.0,753.0,973.0,220.0,1.3095147714277597,0.882891913183255,-0.21995220143173275,1.7148289365874978,1.1561600018875877,0
97,InSataL,5.0,4.0,1.0,4.0,-100.0,200.0,300.0,-0.1327889926290241,-1.013760674330584,-0.35052502935795454,0.01763291656343102,0.13461625871127844,0
98,InVakat,5.0,4.0,1.0,5.0,255.0,550.0,295.0,0.1681986793889823,-1.224583590917069,-0.6201980480188167,0.02829079574819766,-0.20597334279366877,0
99,InVijay,4.0,5.0,0.0,3.0,1336.0,1646.0,310.0,-0.7351402572397205,-1.2692957172407375,0.4613376977883597,0.5404311978144825,0.9331103800856314,0
100,IqAbbs1,6.0,6.0,2.0,6.0,750.0,946.0,196.0,1.410935907283947,-1.2088162650427663,-0.3984755121739191,1.9907401344631743,-1.7055622736577074,0
101,IqAbbs2,5.0,5.0,2.0,4.0,1191.0,1258.0,67.0,0.33076213893496953,-0.5972425121909034,-0.05014962673835807,0.10940359255283609,-0.19754521079515783,1
102,IqAkkad,5.0,5.0,4.0,4.0,-2270.0,-2083.0,187.0,0.8309404265401115,0.3956389567790253,-0.13845566349330649,0.6904619924586624,0.328752403501848,0
103,IqIsinL,4.0,6.0,4.0,4.0,-2004.0,-1763.0,241.0,0.7796659777499924,0.42572173176735145,0.3595810266146713,0.6078790368608515,0.33192075024781204,0
104,IqNAssr,3.0,5.0,3.0,6.0,-911.0,-612.0,299.0,0.6533537536704697,-0.3024369162116893,-0.32663214421574255,0.42687112743529276,-0.1975982944554285,0
105,IqUrIII,4.0,6.0,4.0,4.0,-2112.0,-2004.0,108.0,0.7796659777499924,0.42572173176735145,0.3595810266146713,0.6078790368608515,0.33192075024781204,1
106,IrAchae,6.0,7.0,3.0,5.0,-550.0,-331.0,219.0,1.5734993668299342,-0.5814751863166007,0.17157290910653972,2.475900257414204,-0.9149508374964892,0
107,IrAkKoy,3.0,6.0,1.0,3.0,1339.0,1501.0,162.0,-0.5363255622272687,-0.7427722077674469,0.9152213695188632,0.2876451086983958,0.39836772193766556,1
108,IrArcha,1.0,1.0,1.0,1.0,-7000.0,-6000.0,1000.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
109,IrAwanE,4.0,3.0,2.0,2.0,-2675.0,-2100.0,575.0,-0.9628736171754305,0.09425381300624304,-0.04635216229986773,0.9271256026524975,-0.09075450986189787,0
110,IrBuyid,5.0,8.0,3.0,4.0,932.0,1062.0,130.0,1.2212372460218086,-0.3405694947417896,0.9392826178753796,1.4914204110709315,-0.41591615183750197,1
111,IrForma,1.0,1.0,0.0,1.0,-7200.0,-7000.0,200.0,-2.9851728619760496,-0.1979435526858044,0.08309485845452284,8.91125701587828,0.5908957216807897,0
112,IrIlkhn,6.0,6.0,3.0,4.0,1256.0,1339.0,83.0,1.059049707050505,-0.29072969738483223,0.09671750677033125,1.1215862820037603,-0.3078972008462885,1
113,IrKhzE*,1.0,1.0,1.0,1.0,-6000.0,-5700.0,300.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
114,IrKhzEM,1.0,1.0,1.0,1.0,-5700.0,-5100.0,600.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
115,IrKhzM*,1.0,1.0,1.0,2.0,-5100.0,-4700.0,400.0,-2.4340960461554726,0.08767426521267496,-0.2307311785838135,5.9248235619097045,-0.21340758230375842,0
116,IrMElm1,4.0,3.0,2.0,4.0,-1500.0,-1400.0,100.0,-0.36089827313941764,-0.3273920201667266,-0.5856981996215923,0.13024756355501368,0.11815521471779701,1
117,IrMElm2,4.0,3.0,2.0,4.0,-1399.0,-1200.0,199.0,-0.36089827313941764,-0.3273920201667266,-0.5856981996215923,0.13024756355501368,0.11815521471779701,0
118,IrMElm3,4.0,3.0,2.0,4.0,-1199.0,-1100.0,99.0,-0.36089827313941764,-0.3273920201667266,-0.5856981996215923,0.13024756355501368,0.11815521471779701,1
119,IrPart1,5.0,6.0,3.0,4.0,-247.0,40.0,287.0,0.7943132704989632,-0.18072435005122256,0.25022577588123834,0.630933571690759,-0.14355174954798605,0
120,IrPart2,5.0,6.0,3.0,4.0,41.0,226.0,185.0,0.7943132704989632,-0.18072435005122256,0.25022577588123834,0.630933571690759,-0.14355174954798605,0
121,IrPrCer,1.0,1.0,0.0,1.0,-7800.0,-7200.0,600.0,-2.9851728619760496,-0.1979435526858044,0.08309485845452284,8.91125701587828,0.5908957216807897,0
122,IrSafvd,6.0,6.0,5.0,4.0,1501.0,1722.0,221.0,1.5592279946556469,0.7021517715850963,0.008411470015382835,2.43119193931787,1.0948146987525396,0
123,IrSasn1,6.0,7.0,4.0,5.0,205.0,487.0,282.0,1.8235885106325052,-0.08503445183163641,0.1274198907290655,3.3254750561108786,-0.15506784936810533,0
124,IrSasn2,6.0,7.0,4.0,6.0,488.0,642.0,154.0,2.1245761826505114,-0.29585736841812127,-0.14225312793179684,4.513823955885819,-0.628571518402798,1
125,IrSeleu,5.0,5.0,4.0,6.0,-312.0,-63.0,249.0,1.4329157705761242,-0.026006876393944414,-0.6778017008150311,2.0532476055657676,-0.03726566332830687,0
126,IrSeljq,5.0,6.0,3.0,4.0,1037.0,1157.0,120.0,0.7943132704989632,-0.18072435005122256,0.25022577588123834,0.630933571690759,-0.14355174954798605,1
127,IrShima,4.0,3.0,2.0,3.0,-2028.0,-1940.0,88.0,-0.661885945157424,-0.11656910358024176,-0.31602518096073007,0.43809300439693655,0.07715545129936198,1
128,IrSukkE,4.0,3.0,2.0,3.0,-1900.0,-1701.0,199.0,-0.661885945157424,-0.11656910358024176,-0.31602518096073007,0.43809300439693655,0.07715545129936198,0
129,IrSukkL,4.0,3.0,2.0,3.0,-1700.0,-1500.0,200.0,-0.661885945157424,-0.11656910358024176,-0.31602518096073007,0.43809300439693655,0.07715545129936198,0
130,IrSusa1,1.0,1.0,1.0,2.0,-4300.0,-3800.0,500.0,-2.4340960461554726,0.08767426521267496,-0.2307311785838135,5.9248235619097045,-0.21340758230375842,0
131,IrSusa2,3.0,2.0,2.0,3.0,-3800.0,-3100.0,700.0,-1.1400843694703884,0.07335881609865148,-0.5070453328468936,1.299792369510693,-0.08363523959692526,0
132,IrSusa3,4.0,2.0,2.0,2.0,-3100.0,-2675.0,425.0,-1.176335604936853,0.17417638535152657,-0.3908805832969384,1.383765455442152,-0.20488988362820243,0
133,IsCommw,4.0,2.0,1.0,1.0,930.0,1262.0,332.0,-1.7274124207574304,-0.11144143254695282,-0.07705454625860199,2.9839536713870456,0.19250531476860766,0
134,ItLatBA,1.0,1.0,1.0,1.0,-1800.0,-900.0,900.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
135,ItLatCA,1.0,1.0,1.0,1.0,-3600.0,-1800.0,1800.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
136,ItLatIA,1.0,1.0,1.0,1.0,-1000.0,-580.0,420.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
137,ItOstrg,5.0,5.0,5.0,6.0,489.0,554.0,65.0,1.6830049143786951,0.47043385809101995,-0.7219547191925053,2.832505541822839,0.7917424950573163,1
138,ItPapEM,6.0,6.0,6.0,5.0,904.0,1198.0,294.0,2.1103048104762245,0.9877695894835757,-0.30541456702295355,4.453386393119094,2.0844949163293154,0
139,ItPapHM,5.0,5.0,6.0,4.0,1198.0,1309.0,111.0,1.3311187141452534,1.3885204257489538,-0.2267617002482549,1.7718770311477128,1.8482855236873672,1
140,ItPapM1,4.0,5.0,6.0,4.0,1527.0,1648.0,121.0,1.0663822775937117,1.4985257730825636,-0.07325343113734775,1.1371711619659521,1.5980013269326618,1
141,ItPapM2,6.0,5.0,6.0,4.0,1648.0,1809.0,161.0,1.5958551506967953,1.2785150784153443,-0.380269969359162,2.546753662005491,2.0403248731326444,1
142,ItPapRn,4.0,5.0,5.0,4.0,1378.0,1527.0,149.0,0.8162931337911408,1.0020850385975992,-0.029100412759873552,0.6663344802745612,0.8179951364820506,1
