PolityKey,PolityName,Administrative levels,Military levels,Religious levels,Settlement hierarchy,start_year,end_year,duration_years,PC1_hier,PC2_hier,PC3_hier,PC1_squared,PC1_x_PC2,collapsed,era,NGA,region,predicted_duration,residual,abs_residual
98,InVakat,5.0,4.0,1.0,5.0,255.0,550.0,295.0,0.1681986793889823,-1.224583590917069,-0.6201980480188167,0.0282907957481976,-0.2059733427936687,0,Classical (500 BCE-500 CE),Deccan,South Asia,244.8385926587727,50.16140734122729,50.16140734122729
99,InVijay,4.0,5.0,0.0,3.0,1336.0,1646.0,310.0,-0.7351402572397205,-1.2692957172407375,0.4613376977883597,0.5404311978144825,0.9331103800856314,0,Medieval (500-1500 CE),Deccan,South Asia,305.0764924080892,4.923507591910777,4.923507591910777
100,IqAbbs1,6.0,6.0,2.0,6.0,750.0,946.0,196.0,1.410935907283947,-1.2088162650427663,-0.3984755121739191,1.9907401344631743,-1.7055622736577074,0,Medieval (500-1500 CE),Southern Mesopotamia,Middle East,161.96839022062642,34.03160977937358,34.03160977937358
101,IqAbbs2,5.0,5.0,2.0,4.0,1191.0,1258.0,67.0,0.3307621389349695,-0.5972425121909034,-0.050149626738358,0.109403592552836,-0.1975452107951578,1,Medieval (500-1500 CE),Southern Mesopotamia,Middle East,233.99827460984727,-166.99827460984727,166.99827460984727
102,IqAkkad,5.0,5.0,4.0,4.0,-2270.0,-2083.0,187.0,0.8309404265401115,0.3956389567790253,-0.1384556634933064,0.6904619924586624,0.328752403501848,0,Ancient (pre-500 BCE),Southern Mesopotamia,Middle East,200.64458163388792,-13.644581633887924,13.644581633887924
103,IqIsinL,4.0,6.0,4.0,4.0,-2004.0,-1763.0,241.0,0.7796659777499924,0.4257217317673514,0.3595810266146713,0.6078790368608515,0.331920750247812,0,Ancient (pre-500 BCE),Southern Mesopotamia,Middle East,204.06374688923236,36.93625311076764,36.93625311076764
104,IqNAssr,3.0,5.0,3.0,6.0,-911.0,-612.0,299.0,0.6533537536704697,-0.3024369162116893,-0.3266321442157425,0.4268711274352927,-0.1975982944554285,0,Ancient (pre-500 BCE),Southern Mesopotamia,Middle East,212.48670175444803,86.51329824555197,86.51329824555197
105,IqUrIII,4.0,6.0,4.0,4.0,-2112.0,-2004.0,108.0,0.7796659777499924,0.4257217317673514,0.3595810266146713,0.6078790368608515,0.331920750247812,1,Ancient (pre-500 BCE),Southern Mesopotamia,Middle East,204.06374688923236,-96.06374688923236,96.06374688923236
106,IrAchae,6.0,7.0,3.0,5.0,-550.0,-331.0,219.0,1.5734993668299342,-0.5814751863166007,0.1715729091065397,2.475900257414204,-0.9149508374964892,0,Ancient (pre-500 BCE),Susiana,Middle East,151.12807217170098,67.87192782829902,67.87192782829902
107,IrAkKoy,3.0,6.0,1.0,3.0,1339.0,1501.0,162.0,-0.5363255622272687,-0.7427722077674469,0.9152213695188632,0.2876451086983958,0.3983677219376655,1,Medieval (500-1500 CE),Susiana,Middle East,291.818811175454,-129.81881117545402,129.81881117545402
108,IrArcha,1.0,1.0,1.0,1.0,-7000.0,-6000.0,1000.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Ancient (pre-500 BCE),Susiana,Middle East,438.4399386397292,561.5600613602708,561.5600613602708
109,IrAwanE,4.0,3.0,2.0,2.0,-2675.0,-2100.0,575.0,-0.9628736171754304,0.094253813006243,-0.0463521622998677,0.9271256026524975,-0.0907545098618978,0,Ancient (pre-500 BCE),Susiana,Middle East,320.26257456301005,254.73742543698995,254.73742543698995
110,IrBuyid,5.0,8.0,3.0,4.0,932.0,1062.0,130.0,1.2212372460218086,-0.3405694947417896,0.9392826178753796,1.4914204110709317,-0.4159161518375019,1,Medieval (500-1500 CE),Susiana,Middle East,174.61818143004163,-44.61818143004163,44.61818143004163
111,IrForma,1.0,1.0,0.0,1.0,-7200.0,-7000.0,200.0,-2.9851728619760496,-0.1979435526858044,0.0830948584545228,8.91125701587828,0.5908957216807897,0,Ancient (pre-500 BCE),Susiana,Middle East,455.11678512770885,-255.11678512770885,255.11678512770885
112,IrIlkhn,6.0,6.0,3.0,4.0,1256.0,1339.0,83.0,1.059049707050505,-0.2907296973848322,0.0967175067703312,1.1215862820037603,-0.3078972008462885,1,Medieval (500-1500 CE),Susiana,Middle East,185.43343173863917,-102.43343173863917,102.43343173863917
113,IrKhzE*,1.0,1.0,1.0,1.0,-6000.0,-5700.0,300.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Ancient (pre-500 BCE),Susiana,Middle East,438.4399386397292,-138.43993863972918,138.43993863972918
114,IrKhzEM,1.0,1.0,1.0,1.0,-5700.0,-5100.0,600.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Ancient (pre-500 BCE),Susiana,Middle East,438.4399386397292,161.56006136027082,161.56006136027082
115,IrKhzM*,1.0,1.0,1.0,2.0,-5100.0,-4700.0,400.0,-2.4340960461554726,0.0876742652126749,-0.2307311785838135,5.9248235619097045,-0.2134075823037584,0,Ancient (pre-500 BCE),Susiana,Middle East,418.36899463673296,-18.368994636732964,18.368994636732964
116,IrMElm1,4.0,3.0,2.0,4.0,-1500.0,-1400.0,100.0,-0.3608982731394176,-0.3273920201667266,-0.5856981996215923,0.1302475635550136,0.118155214717797,1,Ancient (pre-500 BCE),Susiana,Middle East,280.1206865570176,-180.12068655701762,180.12068655701762
117,IrMElm2,4.0,3.0,2.0,4.0,-1399.0,-1200.0,199.0,-0.3608982731394176,-0.3273920201667266,-0.5856981996215923,0.1302475635550136,0.118155214717797,0,Ancient (pre-500 BCE),Susiana,Middle East,280.1206865570176,-81.12068655701762,81.12068655701762
118,IrMElm3,4.0,3.0,2.0,4.0,-1199.0,-1100.0,99.0,-0.3608982731394176,-0.3273920201667266,-0.5856981996215923,0.1302475635550136,0.118155214717797,1,Ancient (pre-500 BCE),Susiana,Middle East,280.1206865570176,-181.12068655701762,181.12068655701762
119,IrPart1,5.0,6.0,3.0,4.0,-247.0,40.0,287.0,0.7943132704989632,-0.1807243500512225,0.2502257758812383,0.630933571690759,-0.143551749547986,0,Classical (500 BCE-500 CE),Susiana,Middle East,203.08701255792562,83.91298744207438,83.91298744207438
